Algorithm,DataType,Size,Iterations,AvgTime_ns,ArrayMemory_bytes,ExtraMemory_bytes,TotalMemory_bytes
BubbleSort,Random,10,10000,162,40,12,52
InsertionSort,Random,10,10000,28,40,12,52
SelectionSort,Random,10,10000,36,40,12,52
MergeSort,Random,10,10000,957,40,40,80
QuickSort,Random,10,10000,46,40,53,93
HeapSort,Random,10,10000,51,40,12,52
BubbleSort,Sorted,10,10000,10,40,12,52
InsertionSort,Sorted,10,10000,14,40,12,52
SelectionSort,Sorted,10,10000,35,40,12,52
MergeSort,Sorted,10,10000,928,40,40,80
QuickSort,Sorted,10,10000,37,40,53,93
HeapSort,Sorted,10,10000,60,40,12,52
BubbleSort,Reverse,10,10000,230,40,12,52
InsertionSort,Reverse,10,10000,24,40,12,52
SelectionSort,Reverse,10,10000,39,40,12,52
MergeSort,Reverse,10,10000,924,40,40,80
QuickSort,Reverse,10,10000,37,40,53,93
HeapSort,Reverse,10,10000,47,40,12,52
BubbleSort,NearlySorted,10,10000,16,40,12,52
InsertionSort,NearlySorted,10,10000,13,40,12,52
SelectionSort,NearlySorted,10,10000,40,40,12,52
MergeSort,NearlySorted,10,10000,962,40,40,80
QuickSort,NearlySorted,10,10000,53,40,53,93
HeapSort,NearlySorted,10,10000,83,40,12,52
BubbleSort,FewUnique,10,10000,137,40,12,52
InsertionSort,FewUnique,10,10000,26,40,12,52
SelectionSort,FewUnique,10,10000,41,40,12,52
MergeSort,FewUnique,10,10000,932,40,40,80
QuickSort,FewUnique,10,10000,39,40,53,93
HeapSort,FewUnique,10,10000,53,40,12,52
BubbleSort,Random,20,10000,683,80,12,92
InsertionSort,Random,20,10000,70,80,12,92
SelectionSort,Random,20,10000,119,80,12,92
MergeSort,Random,20,10000,2011,80,80,160
QuickSort,Random,20,10000,111,80,69,149
HeapSort,Random,20,10000,135,80,12,92
BubbleSort,Sorted,20,10000,15,80,12,92
InsertionSort,Sorted,20,10000,29,80,12,92
SelectionSort,Sorted,20,10000,127,80,12,92
MergeSort,Sorted,20,10000,1928,80,80,160
QuickSort,Sorted,20,10000,96,80,69,149
HeapSort,Sorted,20,10000,143,80,12,92
BubbleSort,Reverse,20,10000,955,80,12,92
InsertionSort,Reverse,20,10000,94,80,12,92
SelectionSort,Reverse,20,10000,118,80,12,92
MergeSort,Reverse,20,10000,1989,80,80,160
QuickSort,Reverse,20,10000,115,80,69,149
HeapSort,Reverse,20,10000,118,80,12,92
BubbleSort,NearlySorted,20,10000,68,80,12,92
InsertionSort,NearlySorted,20,10000,29,80,12,92
SelectionSort,NearlySorted,20,10000,112,80,12,92
MergeSort,NearlySorted,20,10000,2166,80,80,160
QuickSort,NearlySorted,20,10000,96,80,69,149
HeapSort,NearlySorted,20,10000,136,80,12,92
BubbleSort,FewUnique,20,10000,467,80,12,92
InsertionSort,FewUnique,20,10000,77,80,12,92
SelectionSort,FewUnique,20,10000,140,80,12,92
MergeSort,FewUnique,20,10000,2067,80,80,160
QuickSort,FewUnique,20,10000,99,80,69,149
HeapSort,FewUnique,20,10000,149,80,12,92
BubbleSort,Random,50,10000,3674,200,12,212
InsertionSort,Random,50,10000,294,200,12,212
SelectionSort,Random,50,10000,745,200,12,212
MergeSort,Random,50,10000,5336,200,200,400
QuickSort,Random,50,10000,285,200,90,290
HeapSort,Random,50,10000,417,200,12,212
BubbleSort,Sorted,50,10000,3202,200,12,212
InsertionSort,Sorted,50,10000,60,200,12,212
SelectionSort,Sorted,50,10000,1234,200,12,212
MergeSort,Sorted,50,10000,5440,200,200,400
QuickSort,Sorted,50,10000,251,200,90,290
HeapSort,Sorted,50,10000,419,200,12,212
BubbleSort,Reverse,50,10000,6487,200,12,212
InsertionSort,Reverse,50,10000,663,200,12,212
SelectionSort,Reverse,50,10000,803,200,12,212
MergeSort,Reverse,50,10000,5508,200,200,400
QuickSort,Reverse,50,10000,238,200,90,290
HeapSort,Reverse,50,10000,368,200,12,212
BubbleSort,NearlySorted,50,10000,841,200,12,212
InsertionSort,NearlySorted,50,10000,99,200,12,212
SelectionSort,NearlySorted,50,10000,823,200,12,212
MergeSort,NearlySorted,50,10000,5462,200,200,400
QuickSort,NearlySorted,50,10000,256,200,90,290
HeapSort,NearlySorted,50,10000,445,200,12,212
BubbleSort,FewUnique,50,10000,3192,200,12,212
InsertionSort,FewUnique,50,10000,311,200,12,212
SelectionSort,FewUnique,50,10000,654,200,12,212
MergeSort,FewUnique,50,10000,5188,200,200,400
QuickSort,FewUnique,50,10000,285,200,90,290
HeapSort,FewUnique,50,10000,417,200,12,212
BubbleSort,Random,100,10000,15318,400,12,412
InsertionSort,Random,100,10000,1465,400,12,412
SelectionSort,Random,100,10000,3409,400,12,412
MergeSort,Random,100,10000,10734,400,400,800
QuickSort,Random,100,10000,710,400,106,506
HeapSort,Random,100,10000,961,400,12,412
BubbleSort,Sorted,100,10000,59,400,12,412
InsertionSort,Sorted,100,10000,98,400,12,412
SelectionSort,Sorted,100,10000,3015,400,12,412
MergeSort,Sorted,100,10000,9988,400,400,800
QuickSort,Sorted,100,10000,528,400,106,506
HeapSort,Sorted,100,10000,1009,400,12,412
BubbleSort,Reverse,100,10000,25282,400,12,412
InsertionSort,Reverse,100,10000,2400,400,12,412
SelectionSort,Reverse,100,10000,3160,400,12,412
MergeSort,Reverse,100,10000,9866,400,400,800
QuickSort,Reverse,100,10000,518,400,106,506
HeapSort,Reverse,100,10000,877,400,12,412
BubbleSort,NearlySorted,100,10000,7478,400,12,412
InsertionSort,NearlySorted,100,10000,367,400,12,412
SelectionSort,NearlySorted,100,10000,3200,400,12,412
MergeSort,NearlySorted,100,10000,10224,400,400,800
QuickSort,NearlySorted,100,10000,528,400,106,506
HeapSort,NearlySorted,100,10000,991,400,12,412
BubbleSort,FewUnique,100,10000,13046,400,12,412
InsertionSort,FewUnique,100,10000,1095,400,12,412
SelectionSort,FewUnique,100,10000,3400,400,12,412
MergeSort,FewUnique,100,10000,10398,400,400,800
QuickSort,FewUnique,100,10000,624,400,106,506
HeapSort,FewUnique,100,10000,1126,400,12,412
BubbleSort,Random,500,100,433137,2000,12,2012
InsertionSort,Random,500,100,27134,2000,12,2012
SelectionSort,Random,500,100,83178,2000,12,2012
MergeSort,Random,500,1000,59223,2000,2000,4000
QuickSort,Random,500,1000,4080,2000,143,2143
HeapSort,Random,500,1000,12087,2000,12,2012
BubbleSort,Sorted,500,100,266,2000,12,2012
InsertionSort,Sorted,500,100,451,2000,12,2012
SelectionSort,Sorted,500,100,64750,2000,12,2012
MergeSort,Sorted,500,1000,50008,2000,2000,4000
QuickSort,Sorted,500,1000,3231,2000,143,2143
HeapSort,Sorted,500,1000,11836,2000,12,2012
BubbleSort,Reverse,500,100,610872,2000,12,2012
InsertionSort,Reverse,500,100,47796,2000,12,2012
SelectionSort,Reverse,500,100,69269,2000,12,2012
MergeSort,Reverse,500,1000,50013,2000,2000,4000
QuickSort,Reverse,500,1000,3297,2000,143,2143
HeapSort,Reverse,500,1000,9041,2000,12,2012
BubbleSort,NearlySorted,500,100,152885,2000,12,2012
InsertionSort,NearlySorted,500,100,5176,2000,12,2012
SelectionSort,NearlySorted,500,100,65282,2000,12,2012
MergeSort,NearlySorted,500,1000,52949,2000,2000,4000
QuickSort,NearlySorted,500,1000,3438,2000,143,2143
HeapSort,NearlySorted,500,1000,12411,2000,12,2012
BubbleSort,FewUnique,500,100,389682,2000,12,2012
InsertionSort,FewUnique,500,100,24785,2000,12,2012
SelectionSort,FewUnique,500,100,68877,2000,12,2012
MergeSort,FewUnique,500,1000,57413,2000,2000,4000
QuickSort,FewUnique,500,1000,3375,2000,143,2143
HeapSort,FewUnique,500,1000,10565,2000,12,2012
BubbleSort,Random,1000,100,1658777,4000,12,4012
InsertionSort,Random,1000,100,122976,4000,12,4012
SelectionSort,Random,1000,100,291365,4000,12,4012
MergeSort,Random,1000,1000,126908,4000,4000,8000
QuickSort,Random,1000,1000,27055,4000,159,4159
HeapSort,Random,1000,1000,40917,4000,12,4012
BubbleSort,Sorted,1000,100,520,4000,12,4012
InsertionSort,Sorted,1000,100,1078,4000,12,4012
SelectionSort,Sorted,1000,100,250678,4000,12,4012
MergeSort,Sorted,1000,1000,133591,4000,4000,8000
QuickSort,Sorted,1000,1000,7366,4000,159,4159
HeapSort,Sorted,1000,1000,34542,4000,12,4012
BubbleSort,Reverse,1000,100,2427874,4000,12,4012
InsertionSort,Reverse,1000,100,209868,4000,12,4012
SelectionSort,Reverse,1000,100,267130,4000,12,4012
MergeSort,Reverse,1000,1000,102014,4000,4000,8000
QuickSort,Reverse,1000,1000,6908,4000,159,4159
HeapSort,Reverse,1000,1000,32147,4000,12,4012
BubbleSort,NearlySorted,1000,100,650414,4000,12,4012
InsertionSort,NearlySorted,1000,100,19269,4000,12,4012
SelectionSort,NearlySorted,1000,100,249710,4000,12,4012
MergeSort,NearlySorted,1000,1000,102545,4000,4000,8000
QuickSort,NearlySorted,1000,1000,7746,4000,159,4159
HeapSort,NearlySorted,1000,1000,35225,4000,12,4012
BubbleSort,FewUnique,1000,100,1504286,4000,12,4012
InsertionSort,FewUnique,1000,100,94712,4000,12,4012
SelectionSort,FewUnique,1000,100,274561,4000,12,4012
MergeSort,FewUnique,1000,1000,115662,4000,4000,8000
QuickSort,FewUnique,1000,1000,8328,4000,159,4159
HeapSort,FewUnique,1000,1000,33706,4000,12,4012
BubbleSort,Random,5000,10,46057870,20000,12,20012
InsertionSort,Random,5000,10,2559980,20000,12,20012
SelectionSort,Random,5000,10,6687220,20000,12,20012
MergeSort,Random,5000,100,735773,20000,20000,40000
QuickSort,Random,5000,100,238015,20000,196,20196
HeapSort,Random,5000,100,294560,20000,12,20012
BubbleSort,Sorted,5000,10,3260,20000,12,20012
InsertionSort,Sorted,5000,10,4640,20000,12,20012
SelectionSort,Sorted,5000,10,6065990,20000,12,20012
MergeSort,Sorted,5000,100,514936,20000,20000,40000
QuickSort,Sorted,5000,100,38387,20000,196,20196
HeapSort,Sorted,5000,100,198173,20000,12,20012
BubbleSort,Reverse,5000,10,59910230,20000,12,20012
InsertionSort,Reverse,5000,10,5124770,20000,12,20012
SelectionSort,Reverse,5000,10,6210310,20000,12,20012
MergeSort,Reverse,5000,100,515238,20000,20000,40000
QuickSort,Reverse,5000,100,38251,20000,196,20196
HeapSort,Reverse,5000,100,205538,20000,12,20012
BubbleSort,NearlySorted,5000,10,15842400,20000,12,20012
